Purpose,Mode,Origin,Destination,Time Period,Activity Map,Arrival Map
Discretionary,DC,MANHATTAN,NON-NYC,Other,30,104
Discretionary,DC,MANHATTAN,STATEN ISLAND,AM Peak,31,104
Discretionary,DC,MANHATTAN,STATEN ISLAND,Other,30,104
Discretionary,DC,MANHATTAN,WHR,AM Peak,31,104
Discretionary,DC,MANHATTAN,WHR,Other,30,104
Discretionary,DC,NON-NYC,MANHATTAN,AM Peak,30,103
Discretionary,DC,NON-NYC,MANHATTAN,Other,30,103
Discretionary,DC,NON-NYC,NON-NYC,AM Peak,31,104
Discretionary,DC,NON-NYC,NON-NYC,Other,30,104
Discretionary,DC,NON-NYC,STATEN ISLAND,AM Peak,31,104
Discretionary,DC,NON-NYC,STATEN ISLAND,Other,30,104
Discretionary,DC,NON-NYC,WHR,AM Peak,31,104
Discretionary,DC,NON-NYC,WHR,Other,30,104
Discretionary,DC,STATEN ISLAND,MANHATTAN,AM Peak,30,45
Discretionary,DC,STATEN ISLAND,MANHATTAN,Other,30,45
Discretionary,DC,STATEN ISLAND,NON-NYC,AM Peak,31,64
Discretionary,DC,STATEN ISLAND,NON-NYC,Other,30,64
Discretionary,DC,STATEN ISLAND,STATEN ISLAND,AM Peak,31,64
Discretionary,DC,STATEN ISLAND,STATEN ISLAND,Other,30,64
Discretionary,DC,STATEN ISLAND,WHR,AM Peak,31,64
Discretionary,DC,STATEN ISLAND,WHR,Other,30,64
Discretionary,DC,WHR,MANHATTAN,AM Peak,30,45
Discretionary,DC,WHR,MANHATTAN,Other,30,45
Discretionary,DC,WHR,NON-NYC,AM Peak,31,64
Discretionary,DC,WHR,NON-NYC,Other,30,64
Discretionary,DC,WHR,STATEN ISLAND,AM Peak,31,64
Discretionary,DC,WHR,STATEN ISLAND,Other,30,64
Discretionary,DC,WHR,WHR,AM Peak,31,64
Discretionary,DC,WHR,WHR,Other,30,64
Discretionary,DT,MANHATTAN,MANHATTAN,AM Peak,30,103
Discretionary,DT,MANHATTAN,MANHATTAN,Other,30,103
Discretionary,DT,MANHATTAN,NON-NYC,AM Peak,31,104
Discretionary,DT,MANHATTAN,NON-NYC,Other,30,104
Discretionary,DT,MANHATTAN,STATEN ISLAND,AM Peak,31,104
Discretionary,DT,MANHATTAN,STATEN ISLAND,Other,30,104
Discretionary,DT,MANHATTAN,WHR,AM Peak,31,104
Discretionary,DT,MANHATTAN,WHR,Other,30,104
Discretionary,DT,NON-NYC,MANHATTAN,AM Peak,30,103
Discretionary,DT,NON-NYC,MANHATTAN,Other,30,103
Discretionary,DT,NON-NYC,NON-NYC,AM Peak,31,104
Discretionary,DT,NON-NYC,NON-NYC,Other,30,104
Discretionary,DT,NON-NYC,STATEN ISLAND,AM Peak,31,104
Discretionary,DT,NON-NYC,STATEN ISLAND,Other,30,104
Discretionary,DT,NON-NYC,WHR,AM Peak,31,104
Discretionary,DT,NON-NYC,WHR,Other,30,104
Discretionary,DT,STATEN ISLAND,MANHATTAN,AM Peak,30,45
Discretionary,DT,STATEN ISLAND,MANHATTAN,Other,30,45
Discretionary,DT,STATEN ISLAND,NON-NYC,AM Peak,31,64
Discretionary,DT,STATEN ISLAND,NON-NYC,Other,30,64
Discretionary,DT,STATEN ISLAND,STATEN ISLAND,AM Peak,31,64
Discretionary,DT,STATEN ISLAND,STATEN ISLAND,Other,30,64
Discretionary,DT,STATEN ISLAND,WHR,AM Peak,31,64
Discretionary,DT,STATEN ISLAND,WHR,Other,30,64
Discretionary,DT,WHR,MANHATTAN,AM Peak,30,45
Discretionary,DT,WHR,MANHATTAN,Other,30,45
Discretionary,DT,WHR,NON-NYC,AM Peak,31,64
Discretionary,DT,WHR,NON-NYC,Other,30,64
Discretionary,DT,WHR,STATEN ISLAND,AM Peak,31,64
Discretionary,DT,WHR,STATEN ISLAND,Other,30,64
Discretionary,DT,WHR,WHR,AM Peak,31,64
Discretionary,DT,WHR,WHR,Other,30,64
Discretionary,SR,MANHATTAN,MANHATTAN,AM Peak,33,113
Discretionary,SR,MANHATTAN,MANHATTAN,Other,32,113
Discretionary,SR,MANHATTAN,NON-NYC,AM Peak,31,114
Discretionary,SR,MANHATTAN,NON-NYC,Other,30,114
Discretionary,SR,MANHATTAN,STATEN ISLAND,AM Peak,31,114
Discretionary,SR,MANHATTAN,STATEN ISLAND,Other,30,114
Discretionary,SR,MANHATTAN,WHR,AM Peak,31,119
Discretionary,SR,MANHATTAN,WHR,Other,30,119
Discretionary,SR,NON-NYC,MANHATTAN,AM Peak,33,113
Discretionary,SR,NON-NYC,MANHATTAN,Other,32,113
Discretionary,SR,NON-NYC,NON-NYC,AM Peak,31,114
Discretionary,SR,NON-NYC,NON-NYC,Other,30,114
Discretionary,SR,NON-NYC,STATEN ISLAND,AM Peak,31,114
Discretionary,SR,NON-NYC,STATEN ISLAND,Other,30,114
Discretionary,SR,NON-NYC,WHR,AM Peak,31,119
Discretionary,SR,NON-NYC,WHR,Other,30,119
Discretionary,SR,STATEN ISLAND,MANHATTAN,AM Peak,33,39
Discretionary,SR,STATEN ISLAND,MANHATTAN,Other,32,39
Discretionary,SR,STATEN ISLAND,NON-NYC,AM Peak,31,55
Discretionary,SR,STATEN ISLAND,NON-NYC,Other,30,55
Discretionary,SR,STATEN ISLAND,STATEN ISLAND,AM Peak,31,55
Discretionary,SR,STATEN ISLAND,STATEN ISLAND,Other,30,55
Discretionary,SR,STATEN ISLAND,WHR,AM Peak,31,124
Discretionary,SR,STATEN ISLAND,WHR,Other,30,124
Discretionary,SR,WHR,MANHATTAN,AM Peak,33,39
Discretionary,SR,WHR,MANHATTAN,Other,32,39
Discretionary,SR,WHR,NON-NYC,AM Peak,31,55
Discretionary,SR,WHR,NON-NYC,Other,30,55
Discretionary,SR,WHR,STATEN ISLAND,AM Peak,31,55
Discretionary,SR,WHR,STATEN ISLAND,Other,30,55
Discretionary,SR,WHR,WHR,AM Peak,31,55
Discretionary,SR,WHR,WHR,Other,30,55
Discretionary,TAXI,MANHATTAN,MANHATTAN,AM Peak,30,45
Discretionary,TAXI,MANHATTAN,MANHATTAN,Other,30,45
Discretionary,TAXI,MANHATTAN,NON-NYC,AM Peak,31,64
Discretionary,TAXI,MANHATTAN,NON-NYC,Other,30,64
Discretionary,TAXI,MANHATTAN,STATEN ISLAND,AM Peak,31,64
Discretionary,TAXI,MANHATTAN,STATEN ISLAND,Other,30,64
